Level ID, Passable Space, Impassable Space, Playble Space Size, Unreachable Space Count, Unreachable Space Size,Room Count, Average Room Size, Biggest Room Size, Smallest Room Size, Decisions Per Room,Corridor Count, Average Corridor Size, Biggest Corridor Size, Smallest Corridor Size
18258,3864,6136,2681,11,1183,20,185.85,1067,12,0.8,8,18.375,25,11
18259,4256,5744,2416,10,1840,21,188.1429,1239,1,0.8571429,9,33.88889,66,5
18260,4040,5960,3013,7,1027,14,277.6429,1237,6,0.7142857,5,30.6,42,22
18261,3861,6139,1568,14,2293,23,156.087,902,6,0.6521739,7,38.71429,78,8
18262,3960,6040,1263,8,2697,17,224.1176,763,22,1,9,16.66667,30,5
18263,4255,5745,1835,8,2420,25,151.96,659,6,1.36,16,28.5,69,6
18264,3716,6284,2967,9,749,15,241.4667,2404,12,0.6,5,18.8,37,8
18265,3911,6089,2619,5,1292,15,231.0667,1159,10,1.133333,8,55.625,106,26
18266,4491,5509,2509,8,1982,22,185.9545,1489,6,1,11,36.36364,75,8
18267,3715,6285,2398,13,1317,26,128.2692,586,12,0.9230769,12,31.66667,74,11
18268,3511,6489,2672,8,839,16,210.25,877,5,0.875,7,21,39,8
18269,3773,6227,1692,11,2081,22,152.7273,1587,6,0.9545454,9,45.88889,160,14
18270,3802,6198,2108,14,1694,26,134.9231,1374,11,1,12,24.5,70,7
18271,3056,6944,1740,12,1316,24,103.875,513,6,0.875,10,56.3,153,13
18272,3990,6010,1110,7,2880,17,216.9412,870,6,1.117647,9,33.55556,59,8
18273,4336,5664,2505,7,1831,14,293,1506,8,0.8571429,6,39,86,15
18274,3045,6955,1276,16,1769,22,130.1818,505,12,0.4545455,5,36.2,63,19
18275,3356,6644,2025,16,1331,29,105.6897,669,6,0.7241379,10,29.1,48,4
18276,4655,5345,4337,5,318,14,318.5,2466,8,1.285714,9,21.77778,46,6
18277,4473,5527,2000,9,2473,18,232.5556,1393,6,0.9444444,8,35.875,116,14
18278,4438,5562,3981,8,457,19,221.0526,1592,11,1,11,21.63636,59,4
18279,4368,5632,2830,9,1538,13,330.7692,2624,12,0.4615385,3,22.66667,34,10
18280,3625,6375,1433,10,2192,23,136.087,868,6,1.173913,13,38.07692,82,8
18281,3857,6143,879,11,2978,25,134.4,500,12,1.08,14,35.5,83,7
18282,4217,5783,3662,8,555,27,134.1481,1526,9,1.296296,16,37.1875,68,8
18283,4052,5948,2946,8,1106,23,156.6956,858,1,1.304348,14,32,79,4
18284,4279,5721,3042,12,1237,23,176.5217,2377,6,0.7391304,9,24.33333,61,5
18285,3933,6067,2356,6,1577,13,278.6923,1166,13,1.076923,7,44.28571,110,10
18286,3764,6236,1403,9,2361,20,163.25,550,7,1.1,11,45.36364,124,8
18287,3278,6722,1176,12,2102,24,120.25,511,6,0.9166667,10,39.2,108,14
18288,4138,5862,3658,4,480,13,304.6923,2427,12,1.153846,8,22.125,40,8
18289,3109,6891,813,17,2296,27,103.0741,543,8,0.6666667,9,36.22222,71,18
18290,4126,5874,1991,7,2135,21,180.4286,779,6,1.190476,11,30.63636,97,11
18291,4060,5940,2356,8,1704,21,172.3333,892,1,1.095238,10,44.1,100,8
18292,3961,6039,2104,11,1857,19,201.2632,1220,1,0.6842105,7,19.57143,53,8
18293,4555,5445,3142,7,1413,18,236.2222,983,8,1.222222,10,30.3,58,6
18294,3894,6106,1279,11,2615,21,172.619,1040,12,0.8571429,9,29.88889,63,13
18295,3862,6138,2444,12,1418,21,171.3333,751,12,0.9047619,10,26.4,47,8
18296,4330,5670,1780,8,2550,23,168.2174,774,11,1.173913,13,35.46154,85,12
18297,4086,5914,2204,8,1882,18,204.6111,1872,11,1.166667,10,40.3,86,17
18298,4595,5405,3355,8,1240,19,219.6842,2619,5,1.052632,9,46.77778,164,13
